id,portalId,pointOfSaleId,mainImage,createdAt,updatedAt,daysSinceCreated,reservedAt,daysSinceReserved,make,model,bodyType,colour,purchaseOption,salePriceGross,previousSalePriceGross,previousReLeasePriceGross,previousSalePriceNet,previousReLeasePriceNet,salePriceNet,leaseOnDemand,reLeasePriceGross,reLeasePriceNet,reLeasePrice2Gross,reLeasePrice2Net,reLeasePrice3Gross,reLeasePrice3Net,financeMonthlyPriceGross,financeMonthlyPriceNet,catalogPriceGross,catalogPriceNet,trim,location,locationDisplayName,firstRegistrationDate,registrationNumber,labels,partnerLogoUrl,details,labelCode,reservationLabelCode,co2,offerUrl,imagesFormat,salePromotedAt,releasePromotedAt,matrixReleasePrices,defaultReleaseKey,partnerName,additionalData
92047,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/92047/0.jpeg,2025-01-15T16:46:13.431763Z,2025-01-15T16:46:13.4332823Z,1,2025-01-15T16:45:48.6051177,1,Skoda,Octavia,Break,,saleandrelease,20990.0,0.0,0.0,0.0,0.0,17491.0,False,408.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Combi Business 2.0 TDI 150 BVA7,Exclu web,,18/05/2022,GG029KR,,,"{'mileage': 96058.0, 'registrationYear': 2022, 'fuelTypeLabel': 'Diesel', 'gearbox': 'Automatique', 'warrantyMonths': 12}",,available,117.0,https://autoselect.arval.fr/voitures-occasion/offer/skoda-octavia-combi-business-20-tdi-150-bva7-92047,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 408.0, 'rentalStandardNet': 340.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
92046,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/92046/0.jpeg,2025-01-15T16:45:36.7968331Z,2025-01-15T16:45:36.9375981Z,1,2025-01-15T16:45:06.804135,1,Citroen,C4,Berline,,saleandrelease,12490.0,0.0,0.0,0.0,0.0,10408.0,False,294.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feel Pack 1.2 PureTech 130,Exclu web,,31/08/2022,GJ042ER,"[{'key': 'compatiblezfe', 'label': 'Compatible ZFE', 'color': '#00A66E'}]",,"{'mileage': 114043.0, 'registrationYear': 2022, 'fuelTypeLabel': 'Essence', 'gearbox': 'Manuelle', 'warrantyMonths': 12}",compatiblezfe,available,106.0,https://autoselect.arval.fr/voitures-occasion/offer/citroen-c4-feel-pack-12-puretech-130-92046,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 294.0, 'rentalStandardNet': 245.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
92045,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/92045/0.jpeg,2025-01-15T16:44:53.7801531Z,2025-01-15T16:44:53.7889611Z,1,2025-01-15T16:43:21.7240383,1,Peugeot,3008,SUV,,saleandrelease,20990.0,0.0,0.0,0.0,0.0,17491.0,False,420.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Allure Pack 1.6 Plug-In 225 E-EAT8,Exclu web,,09/07/2021,GA473QW,"[{'key': 'compatiblezfe', 'label': 'Compatible ZFE', 'color': '#00A66E'}]",,"{'mileage': 87339.0, 'registrationYear': 2021, 'fuelTypeLabel': 'Plug-in hybrid', 'gearbox': 'Automatique', 'warrantyMonths': 12}",compatiblezfe,available,31.0,https://autoselect.arval.fr/voitures-occasion/offer/peugeot-3008-allure-pack-16-plug-in-225-e-eat8-92045,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 420.0, 'rentalStandardNet': 350.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
92044,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/92044/0.jpeg,2025-01-15T16:43:11.4359717Z,2025-01-15T16:43:11.437326Z,1,2025-01-15T16:42:51.1054127,1,Peugeot,3008,SUV,,saleandrelease,17990.0,0.0,0.0,0.0,0.0,14991.0,False,364.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Active Business 1.5 BlueHDi 130,Exclu web,,09/07/2021,GA225QW,,,"{'mileage': 87556.0, 'registrationYear': 2021, 'fuelTypeLabel': 'Diesel', 'gearbox': 'Manuelle', 'warrantyMonths': 12}",,available,130.0,https://autoselect.arval.fr/voitures-occasion/offer/peugeot-3008-active-business-15-bluehdi-130-92044,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 364.0, 'rentalStandardNet': 303.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
92042,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/92042/0.jpeg,2025-01-15T16:41:18.5277528Z,2025-01-15T16:41:18.6095263Z,1,2025-01-15T16:40:55.0505306,1,Peugeot,3008,SUV,,saleandrelease,17990.0,0.0,0.0,0.0,0.0,14991.0,False,379.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybrid 225 e-EAT8 ALLURE BUSINESS,Exclu web,,06/08/2020,FR820YN,"[{'key': 'compatiblezfe', 'label': 'Compatible ZFE', 'color': '#00A66E'}]",,"{'mileage': 107765.0, 'registrationYear': 2020, 'fuelTypeLabel': 'Hybride', 'gearbox': 'Automatique', 'warrantyMonths': 12}",compatiblezfe,available,31.0,https://autoselect.arval.fr/voitures-occasion/offer/peugeot-3008-hybrid-225-e-eat8-allure-business-92042,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 379.0, 'rentalStandardNet': 315.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
91991,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91991/0.jpeg,2025-01-15T09:48:32.0453832Z,2025-01-15T09:48:32.08117Z,1,2025-01-15T09:47:57.0281893,1,Renault,Megane,Berline,,saleandrelease,24990.0,0.0,0.0,0.0,0.0,20825.0,False,466.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E-TECH iconic EV60 220 super charge,Exclu web,,31/10/2022,GK459HG,"[{'key': 'compatiblezfe', 'label': 'Compatible ZFE', 'color': '#00A66E'}]",,"{'mileage': 48684.0, 'registrationYear': 2022, 'fuelTypeLabel': 'Electrique', 'gearbox': 'Automatique', 'warrantyMonths': 12}",compatiblezfe,available,0.0,https://autoselect.arval.fr/voitures-occasion/offer/renault-megane-e-tech-iconic-ev60-220-super-charge-91991,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 466.0, 'rentalStandardNet': 388.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
91989,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91989/0.jpeg,2025-01-15T09:47:13.284017Z,2025-01-15T09:47:13.3414304Z,1,2025-01-15T09:46:53.4490074,1,BMW,Serie 1,Berline,,saleandrelease,22990.0,0.0,0.0,0.0,0.0,19158.0,False,432.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116i Business Design,Exclu web,,27/03/2023,GM506YQ,"[{'key': 'compatiblezfe', 'label': 'Compatible ZFE', 'color': '#00A66E'}]",,"{'mileage': 21327.0, 'registrationYear': 2023, 'fuelTypeLabel': 'Essence', 'gearbox': 'Manuelle', 'warrantyMonths': 12}",compatiblezfe,available,131.0,https://autoselect.arval.fr/voitures-occasion/offer/bmw-serie-1-116i-business-design-91989,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 432.0, 'rentalStandardNet': 360.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
91988,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91988/0.jpeg,2025-01-15T09:46:40.9979086Z,2025-01-15T09:46:41.0331484Z,1,2025-01-15T09:46:18.993925,1,Fiat,Ducato,Utilitaire,,saleandrelease,19490.0,0.0,0.0,0.0,0.0,16241.0,False,420.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fourgon tole 23 Multijet 120 30 C H1 Business,Exclu web,,05/08/2021,GB153DJ,,,"{'mileage': 42299.0, 'registrationYear': 2021, 'fuelTypeLabel': 'Diesel', 'gearbox': 'Manuelle', 'warrantyMonths': 12}",,available,220.0,https://autoselect.arval.fr/voitures-occasion/offer/fiat-ducato-fourgon-tole-23-multijet-120-30-c-h1-business-91988,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 420.0, 'rentalStandardNet': 350.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
91987,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91987/0.jpeg,2025-01-15T09:46:04.4887967Z,2025-01-15T09:46:04.4921677Z,1,2025-01-15T09:45:33.4529078,1,Volkswagen,Touran,Monospace,,saleandrelease,26990.0,0.0,0.0,0.0,0.0,22491.0,False,501.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOUNGE 1.5 TSI EVO 7 places,Exclu web,,12/05/2020,FP561TH,"[{'key': 'compatiblezfe', 'label': 'Compatible ZFE', 'color': '#00A66E'}]",,"{'mileage': 65671.0, 'registrationYear': 2020, 'fuelTypeLabel': 'Essence', 'gearbox': 'Manuelle', 'warrantyMonths': 12}",compatiblezfe,available,157.0,https://autoselect.arval.fr/voitures-occasion/offer/volkswagen-touran-lounge-15-tsi-evo-7-places-91987,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 501.0, 'rentalStandardNet': 417.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
91985,5,736,https://arvalprodeuwsa.blob.core.windows.net/arval-prod-euw-blobcontainer-images/PortalsAnnouncementsMainImages/5/736/91985/0.jpeg,2025-01-15T09:44:49.2285668Z,2025-01-15T09:44:49.2707553Z,1,2025-01-15T09:44:28.7945587,1,Toyota,C-HR,SUV,,saleandrelease,21990.0,0.0,0.0,0.0,0.0,18325.0,False,420.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybride 184 Dynamic Business Beyond,Exclu web,,05/11/2021,GC770VV,"[{'key': 'compatiblezfe', 'label': 'Compatible ZFE', 'color': '#00A66E'}]",,"{'mileage': 64152.0, 'registrationYear': 2021, 'fuelTypeLabel': 'Hybride', 'gearbox': 'Automatique', 'warrantyMonths': 12}",compatiblezfe,available,118.0,https://autoselect.arval.fr/voitures-occasion/offer/toyota-c-hr-hybride-184-dynamic-business-beyond-91985,16:9,0001-01-01T00:00:00,0001-01-01T00:00:00,"{'term': 36, 'mileage': 10000, 'deposit': 0, 'rentalStandardGross': 420.0, 'rentalStandardNet': 350.0, 'rentalMaintenanceGross': 0.0, 'rentalMaintenanceNet': 0.0}",rentalStandard_36_10000_0,,{}
